Date : 2023-01-30 23:40:47
Directory : q:\fydp\job\src
Total : 85 files,  3542 codes, 63 comments, 199 blanks, all 3804 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| q:\fydp\job\src\Components\SectionHeader\SectionHeader.js               | JavaScript |         15 |          0 |          2 |         17 |
| q:\fydp\job\src\Components\SocialLogin\SocialLogin.css                  | CSS        |         17 |          0 |          0 |         17 |
| q:\fydp\job\src\Components\SocialLogin\SocialLogin.js                   | JavaScript |         44 |          0 |          3 |         47 |
| q:\fydp\job\src\Components\SubHeader\SubHeader.css                      | CSS        |         26 |          1 |          2 |         29 |
| q:\fydp\job\src\Components\SubHeader\SubHeader.js                       | JavaScript |         20 |          0 |          2 |         22 |
| q:\fydp\job\src\Components\TopNav\TopNav.css                            | CSS        |         94 |          3 |          2 |         99 |
| q:\fydp\job\src\Components\TopNav\TopNav.js                             | JavaScript |         70 |          0 |          4 |         74 |
| q:\fydp\job\src\Components\WhyUs\WhyUs.css                              | CSS        |         30 |          0 |          0 |         30 |
| q:\fydp\job\src\Components\WhyUs\WhyUs.js                               | JavaScript |         89 |          0 |          3 |         92 |
| q:\fydp\job\src\index.css                                               | CSS        |         36 |          0 |          3 |         39 |
| q:\fydp\job\src\index.js                                                | JavaScript |          7 |          0 |          3 |         10 |
| Total                                                                   |            |      3,542 |         63 |        199 |      3,804 |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
