"filename", "language", "CSS", "JavaScript", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"q:\fydp\job\src\Components\JobDetails\JobDetails.css", "CSS", 73, 0, 0, 0, 0, 0, 2, 6, 81
"q:\fydp\job\src\Components\JobDetails\JobDetails.js", "JavaScript", 0, -131, 0, 0, 0, 0, -7, -9, -147
"q:\fydp\job\src\Components\JobSingleCard\JobSingleCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, -2, -1, -3
"q:\fydp\job\src\Components\PostJobMain\PostJobMain.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\PostJobMain\PostJobMain.js", "JavaScript", 0, 162, 0, 0, 0, 0, 0, 5, 167
"q:\fydp\job\src\Components\PostJob\PostJob.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"q:\fydp\job\src\Components\PrimaryCards\JobCards.css", "CSS", 26, 0, 0, 0, 0, 0, 0, 0, 26
"q:\fydp\job\src\Components\PrimaryCards\JobCards.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 2, 57
"q:\fydp\job\src\Components\PrimaryCards\PrimaryCards.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\fydp\job\src\Components\PrimaryCards\PrimaryCards.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"q:\fydp\job\src\Components\PrimaryCards\candidatesData.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 2, 83
"q:\fydp\job\src\Components\PrimaryCards\jobsData.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 3, 93
"q:\fydp\job\src\Components\RecentAppliedJobs\RecentAppliedJobs.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\Register\Register.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"q:\fydp\job\src\Components\Register\Register.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"q:\fydp\job\src\Components\RoundMenu\RoundMenu.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 2, 3
"q:\fydp\job\src\Components\TopNav\TopNav.css", "CSS", -5, 0, 0, 0, 0, 0, -1, 1, -5
"q:\fydp\job\src\Components\WhyUs\WhyUs.css", "CSS", 66, 0, 0, 0, 0, 0, 1, 1, 68
"q:\fydp\job\src\Components\WhyUs\WhyUs.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 19
"q:\fydp\job\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", 345, 1295, 38, 30124, 52, 14, -12, 144, 32000
